project_name,engagement_type,activity_type,facilitator,description,academic_year,semester,end_semester,total_uno_students,total_uno_hours,total_k12_students,total_k12_hours,total_other_community_members,total_uno_faculty,total_economic_impact,other_details,outcomes,campus_partner,community_partner,mission,mission_type,status,address_line1,city,state,zip
Seven Days of Service: 2017-18 (020),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Volunteers will be organizing donations in the food room and the warehouse.,2017-18,Spring 2018,Spring 2018,15,66,0,0,2,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Lutheran Family Services,International Service,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2017-18 (022),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Volunteers will be helping with raptor perch repair, addition/refreshment of flooring substrate (pea gravel), hosing and cleaning of 12 enclosures.",2017-18,Spring 2018,Spring 2018,15,72,0,0,0,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Fontenelle Forest,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2017-18 (023),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Cut out positive words and pictures to be used in various ways with familys at Grief's Journey,2017-18,Spring 2018,Spring 2018,4,7,0,0,1,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Grief's Journey,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2017-18 (024),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Volunteers will be helping with various projects around the Zoo - mulching gorilla exhibits, cleaning and sorting enrichment, etc.",2017-18,Spring 2018,Spring 2018,28,144,0,0,1,1,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Henry Doorly Zoo & Aquarium,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2017-18 (027),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Volunteers will be beautifying the community garden and removing tree trimmings, raking leaves and removing trash and debris from around the community garden.",2017-18,Spring 2018,Spring 2018,18,84,0,0,1,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Neighborhood Action & Fact Association,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2017-18 (028),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Repotting and reorganization of thousands of perennial flowers.,2017-18,Spring 2018,Spring 2018,5,23,0,0,0,1,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Benson Plant Rescue,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2017-18 (029),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Volunteers will help clean up the area, help to re-organize the bins that we have and restock the shelves. They may also, time permitting, be able to visit with some of the members who reside at the Veterans' Home.",2017-18,Spring 2018,Spring 2018,5,23,0,0,0,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Eastern Nebraska Veterans Home,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2017-18 (030),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Volunteers will assemble projects for Backpack and Pantry Box programs which provide emergency weekend food for children and general pantry food for families in need and not able to access an emergency pantry.,2017-18,Spring 2018,Spring 2018,24,105,0,0,0,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Food Bank for the Heartland,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2017-18 (031),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Volunteers will help with cleaning and organizing around the barn and potentially assist with some painting and/or staining.,2017-18,Spring 2018,Spring 2018,5,22,0,0,0,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Heartland Equine Therapeutic Riding Academy,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2017-18 (032),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Volunteers will provide basic English Classes, exercise, serving lunch and other tasks as cleaning different areas, and if weather permits clean the raised beds for flowers and veggies.",2017-18,Spring 2018,Spring 2018,11,48,1,6,7,1,0,N/A,pre-post surveys,International Programs,Intercultural Senior Center,International Service,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2017-18 (033),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Volunteer will assemble mini seed packets used as educational and outreach materials for NMEP, primarily promoting the Florence Community Garden.",2017-18,Spring 2018,Spring 2018,9,29,0,0,1,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),No More Empty Pots,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2017-18 (034),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Volunteers will help with raking and picking up grounds outside and cleaning inside.,2017-18,Spring 2018,Spring 2018,7,27,0,0,0,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Notre Dame Housing,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2017-18 (035),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Volunteers will assist with day to day operations at Youth Emergency Services' Street Outreach Center. Volunteers will help with facility upkeep and clean up, sorting and organizing donations, and stocking our pantry for youth in need.",2017-18,Spring 2018,Spring 2018,5,22,0,0,0,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Youth Emergency Services (YES),Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2017-18 (036),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Volunteers will help with a deep clean of the Hope Lodge and will scrub floors, wash windows, clean cabinets, dust, and much more.",2017-18,Spring 2018,Spring 2018,2,20,0,0,1,2,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),American Cancer Society: Hope Lodge,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2017-18 (038),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Volunteers will be asked to help clean windows, floors, stairwells and sales floor. They may also be asked to help relocate inventory and place it on the sales floor.",2017-18,Spring 2018,Spring 2018,6,21,1,6,1,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Habitat for Humanity: Council Bluffs,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2017-18 (039),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Volunteers will be working at the New Visions Thrift Store helping to organize and sort donations.,2017-18,Spring 2018,Spring 2018,8,32,1,6,6,2,0,Alumni,pre-post surveys,Office of Civic and Social Responsibility (CSR),New Visions Homeless Services,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2017-18 (040),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Volunteers will be helping clean the Omaha Street School building, as they do not have regular janitorial service and rely on volunteers.",2017-18,Spring 2018,Spring 2018,3,11,0,0,2,4,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Omaha Street School,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2017-18 (041),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Volunteers will help hang up clothing for the poor and needy that come to the Family Outreach and Donation Centers for assistance.,2017-18,Spring 2018,Spring 2018,13,64,0,0,1,6,0,N/A,pre-post surveys,Housing & Residence Life,Open Door Mission,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2017-18 (042),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Volunteers will be painting two apartments.,2017-18,Spring 2018,Spring 2018,3,12,0,0,2,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Santa Monica House (Restored Hope),Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2017-18 (043),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Volunteers will be helping with spring cleaning.,2017-18,Spring 2018,Spring 2018,4,11,2,11,4,2,0,Alumni,pre-post surveys,Thompson Learning Community,Siena Francis House,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Seven Days of Service: 2017-18 (044),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Volunteers will help an outside clean up project, clean out leaves, lay mulch, clean up trash, etc.",2017-18,Spring 2018,Spring 2018,2,20,5,28,0,0,0,N/A,pre-post surveys,Office of Civic and Social Responsibility (CSR),Stephen Center,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Small Group Facilitation: 2016-17 (001),Knowledge/Info Sharing,Event / Exhibit / Performance,Barbara Weitz Community Engagement Center (CEC),A training for building partner organizations about small group facilitation.,2016-17,Fall 2016,Fall 2016,0,0,0,0,10,0,0,N/A,N/A,Barbara Weitz Community Engagement Center (CEC),ONE Omaha,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Social Return on Investment: 2016-17 (001),Knowledge/Info Sharing,Contract Services,Support and Training for the Evaluation of Programs (STEPs),N/A,2016-17,Fall 2016,Spring 2017,0,0,0,0,0,0,0,N/A,N/A,Support and Training for the Evaluation of Programs (STEPs),Partnership 4 Kids (P4K),Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Sound Health Seminar: 2016-17 (001),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Spring 2017,Spring 2017,24,20,0,0,0,0,0,N/A,N/A,"Music, School of",Sound Health,Health and Wellness,Primary,Completed,N/A,N/A,N/A,N/A
Special Studies in Music: 2016-17 (001),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Fall 2016,Fall 2016,3,20,0,0,0,0,0,N/A,N/A,"Music, School of",Bergan Mercy Hospital,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Special Topics in Psychology: 2017-18 (001),Service Learning,Course,Service Learning Academy (SLA),"Students will collect and analyze survey data from the volunteers of the Pioneer Foster Grandparents Program and build a technical report for our community partner. Students will also create presentations and share the survey findings with the volunteers of the Pioneer FGP during a field trip to Beatrice, Nebraska. ",2017-18,Summer 2018,Summer 2018,14,12,0,0,0,0,0,N/A,N/A,"Psychology, Department of","Blue Valley Community Action, Inc",Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Spectrum Dance Theater: A Rap on Race: 2017-18 (001),Providing Access,Training / Workshop / Presentation,Barbara Weitz Community Engagement Center (CEC),"Join choreographer Donald Byrd and Spectrum Dance Theater members for a lecture and demonstration of the groundbreaking performance, A Rap on Race. In 1970, black author James Baldwin and white anthropologist Margaret Mead sat together and recorded a conversation on one of the defining subjects of the American experience – race. Together, Byrd and playwright Anna Deavere Smith have reimagined this monumental talk into an innovative production featuring the renowned dancers of Spectrum Dance Theater.",2017-18,Spring 2018,Spring 2018,0,0,0,0,40,0,0,N/A,N/A,"Black Studies, Department of",Omaha Performing Arts,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Stephenson Harrington Internship: 2016-17 (001),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Fall 2016,Fall 2016,1,55,0,0,0,0,0,"Interns also complete surveys, reflection assignments, and graded assignments throughout the semester. ",N/A,Service Learning Academy (SLA),Completely Kids,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Stephenson Harrington Internship: 2016-17 (003),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Fall 2016,Fall 2016,1,55,0,0,0,0,0,"Interns also complete surveys, reflection assignments, and graded assignments throughout the semester. ",N/A,Service Learning Academy (SLA),One World Omaha,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Stephenson Harrington Internship: 2016-17 (004),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Fall 2016,Fall 2016,1,55,0,0,0,0,0,"Interns also complete surveys, reflection assignments, and graded assignments throughout the semester. ",N/A,Service Learning Academy (SLA),WELLCOM,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Stephenson Harrington Internship: 2016-17 (005),Service Learning,Course,Service Learning Academy (SLA),N/A,2016-17,Fall 2016,Fall 2016,1,55,0,0,0,0,0,"Interns also complete surveys, reflection assignments, and graded assignments throughout the semester. ",N/A,Service Learning Academy (SLA),Women's Center for Advancement (WCA),Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Summer Scholar Service Day: 2017-18 (002),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Volunteers will be beautifying the community garden and removing tree trimmings, raking leaves and removing trash and debris from around the community garden.",2017-18,Spring 2018,Spring 2018,28,130,0,0,0,0,0,N/A,pre-post surveys,Summer Scholars,Neighborhood Action & Fact Association,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Summer Scholar Service Day: 2017-18 (004),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Assist with a Park Cleanup,2017-18,Spring 2018,Spring 2018,27,125,0,0,0,0,0,N/A,pre-post surveys,Summer Scholars,Spring Lake Park,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Super Service Saturday: 2016-17 (001),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Painted and renovated indoor space,2016-17,Spring 2017,Spring 2017,11,20,1,1,3,0,0,1 UNL Students,satisfaction surveys,Office of Civic and Social Responsibility (CSR),Abide Network,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Super Service Saturday: 2016-17 (003),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Organized, moved and re-stocked merchandise ",2016-17,Spring 2017,Spring 2017,6,20,0,0,0,1,0,N/A,satisfaction surveys,Office of Civic and Social Responsibility (CSR),Habitat for Humanity: Council Bluffs,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Super Service Saturday: 2016-17 (004),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Home deconstruction in preparation for build,2016-17,Spring 2017,Spring 2017,10,20,0,0,0,0,0,N/A,satisfaction surveys,Office of Civic and Social Responsibility (CSR),Habitat for Humanity: Omaha,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Super Service Saturday: 2016-17 (005),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Organized filing system,2016-17,Spring 2017,Spring 2017,7,20,0,0,3,0,0,3 MCC Students,satisfaction surveys,Office of Civic and Social Responsibility (CSR),Love's Jazz and Art Center,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Super Service Saturday: 2016-17 (006),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Flyer distribution to neighborhood businesses and homes,2016-17,Spring 2017,Spring 2017,12,20,0,0,0,0,0,N/A,satisfaction surveys,Office of Civic and Social Responsibility (CSR),No More Empty Pots,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Super Service Saturday: 2016-17 (007),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Sorted, organized, and shelved donations  ",2016-17,Spring 2017,Spring 2017,15,20,0,0,0,0,0,N/A,satisfaction surveys,Office of Civic and Social Responsibility (CSR),Open Door Mission,Economic Sufficiency,Primary,Completed,N/A,N/A,N/A,N/A
Super Service Saturday: 2016-17 (008),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Stocked food and clothes, cleaned distribution center ",2016-17,Spring 2017,Spring 2017,8,20,0,0,3,0,0,3 MCC Students,satisfaction surveys,Office of Civic and Social Responsibility (CSR),Project Hope,Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Super Service Saturday: 2016-17 (009),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),"Sorted, organized and shelved donations",2016-17,Spring 2017,Spring 2017,3,20,0,0,4,0,0,4 MCC Students,satisfaction surveys,Office of Civic and Social Responsibility (CSR),Youth Emergency Services (YES),Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
Sustainability Expo: 2017-18 (001),Providing Access,Training / Workshop / Presentation,Barbara Weitz Community Engagement Center (CEC),"In celebration of Earth Month, the Sustainability Expo is designed to engage students, faculty, and staff about sustainability problems and solutions, ranging from environmental to social justice issues. Over 20 sustainability-related organizations from the Omaha-Metro area will be on hand to discuss with attendees the work that they do as well as providing information about how individuals can get involved in their efforts.",2017-18,Spring 2018,Spring 2018,0,0,0,0,38,0,0,"ADDITIONAL PARTNERS: Metro Transit Omaha, Heartland B-cycle, Nebraskans for Solar, City Sprouts, No More Empty Pots, Omaha Storm water, Keep Omaha Beautiful, Inc., Metropolitan Area Planning Agency, Mode Shift Omaha, Nebraska Chapter Sierra Club, Green Omaha Coalition, Habitat Omaha ReStore, The Nature, Conservancy in Nebraska, Citizens, Climate Lobby - Omaha, Nebraskans for Peace, Omaha Together One Community - OTOC, Youth Emergency Services, Common Seed Soil Library (Omaha Public Library), Refugee Empowerment Center, Green Bellevue, USGBC Nebraska Flatwater Chapter. ADDITIONAL CAMPUS PARTNERS: UNO Maverick Food Pantry",N/A,"Sustainability, Office of",University of Nebraska Medical Center (UNMC),Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Sustainability Launchpad: Transportation in the Next American City: 2016-17 (001),Knowledge/Info Sharing,Training / Workshop / Presentation,Barbara Weitz Community Engagement Center (CEC),"Join the Center for Urban Sustainability for an afternoon exploring transportation and the ways in which it impacts the sustainability of our commmunities. ADDITIONAL COMMUNITY PARTNERS: Mode Shift Omaha; Metro Area Coalition for Service Learning, Strong Towns. ADDITIONAL CAMPUS PARTNERS: Office of Sustainability",2016-17,Spring 2017,Spring 2017,0,0,0,0,0,0,0,N/A,N/A,Center for Urban Sustainability,Metropolitan Area Planning Agency (MAPA),Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Sustainability Leadership Presentation Series (SLPS): 2017-18 (001),Knowledge/Info Sharing,Training / Workshop / Presentation,Barbara Weitz Community Engagement Center (CEC),"How can you be a sustainable leader without sustaining your own health and energy? Personal health and sustainability of our mind, body, and spirit are integral to being a sustainability leader. This presentation is not about recycling, energy efficiency, and biking to work—though all important. It introduces biomimicry and teaches a few of nature’s secrets to truly being a sustainable leader—for oneself and for the world. Biomimicry—a practice of discovering and listening to nature’s time-tested patterns and strategies—provides a framework to learn how to thrive in the midst of dynamic change and have a positive impact in our world. How does nature maintain energy in the face of constant change? How does nature adapt to conditions outside of its control? How does nature invest in strategies with the highest impact given an organism or ecosystem’s various needs? These are a few questions nature’s wisdom can answer in our quest for sustainable leadership. ",2017-18,Spring 2018,Spring 2018,0,0,0,0,11,0,0,N/A,N/A,Center for Urban Sustainability,Verdis Group,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Sustainability Leadership Presentation Series: Energy Efficiency in Transportation: Reducing the Impacts of Our Mobility: 2016-17 (001),Knowledge/Info Sharing,Training / Workshop / Presentation,Barbara Weitz Community Engagement Center (CEC),"Sustainability Leadership Presentation featuring Michael Helgerson, from the Metropolitan Area Planning Agency. Helgerson discussed ""Energy Efficiency in Transportation: Reducing the Impacts of Our Mobility.""",2016-17,Spring 2017,Spring 2017,0,0,0,0,36,0,0,N/A,N/A,Center for Urban Sustainability,Metropolitan Area Planning Agency (MAPA),Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
The 15th Annual Omaha Buddy Walk: 2016-17 (001),Volunteering,Training / Workshop / Presentation,Barbara Weitz Community Engagement Center (CEC),The annual fundraiser for Down Sydrome Alliance of the Midlands supports the over 400 families that they serve in the Omaha Metro.,2016-17,Fall 2016,Fall 2016,6,20,0,0,0,0,0,N/A,N/A,Student Council for Exceptional Children (SCEC),Down Syndrome Alliance of the Midlands (DSM),Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
The 15th Annual Omaha Buddy Walk: 2017-18 (001),Volunteering,Training / Workshop / Presentation,Barbara Weitz Community Engagement Center (CEC),The annual fundraiser for Down Syndrome Alliance of the Midlands supports the over 400 families that they serve in the Omaha Metro.,2017-18,Fall 2017,Fall 2017,6,30,0,0,0,0,0,N/A,N/A,Student Council for Exceptional Children (SCEC),Down Syndrome Alliance of the Midlands (DSM),Social Justice,Primary,Completed,N/A,N/A,N/A,N/A
The CEC Rain Garden: 2017-18 (001),Volunteering,Training / Workshop / Presentation,Barbara Weitz Community Engagement Center (CEC),"Students in Rodie’s Introduction to Sustainable Design Lab and Biology Independent Research classes completed concept designs in 2016 and 2017. Grant funding was successfully obtained soon after, and UNO Landscape Services prepared the area and relocated existing plants. Kinghorn Gardens, a local landscape and contracting company, helped finalize the design and installed the garden in April 2018, and the Wells Fargo Green Team has donated money for garden signage as well as time to help with planting.  UNO and community partners include the Department of Biology, the Center for Urban Sustainability, SustainUNO, CEC, Wells Fargo, and the Papio-Missouri River Natural Resources District.",2017-18,Spring 2018,Spring 2018,9,40,0,0,10,4,0,about 25 hours of volunteer time for faculty and staff and 10 people working with the Wells Fargo Green Team.,N/A,"Biology, Department of",Papio-Missouri River NRD,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
The Dynamic Universal Creative Process: Extended Evolutionary Perspectives: 2017-18 (001),Knowledge/Info Sharing,Training / Workshop / Presentation,Barbara Weitz Community Engagement Center (CEC),"Starting from the dynamic definition of creativity, descending from a pragmatist approach to creativity studies (Corazza, 2016), the talk will dwell upon the interconnection of creativity episodes to form a dynamic universal creative process. The ultimate implications of this view are then projected onto an extended evolutionary perspective of our cosmos, encompassing rising levels of complexity from physical to biological, psychological, and social levels. Considering the exponential rise of artificial intelligence in the future post-information society, the talk is concluded with an urgent call for all creativity researchers to join forces in the diffusion of a discipline of creativity, with relevant educational programs. GIOVANNI E. CORAZZA – Marconi Institute for Creativity. Giovanni Emanuele Corazza is a Full Professor and Member of the Board of Directors at the Alma Mater Studiorum-University of Bologna, founder of the Marconi Institute for Creativity, Member of the Marconi Society Board of Directors, Member of the Partnership Board of the 5G-PPP. ",2017-18,Fall 2017,Fall 2017,0,0,0,0,26,0,0,N/A,N/A,"Psychology, Department of",Marconi Institute for Creativity,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
The Female Burial in Royal Tomb II at Vergina: 2017-18 (001),Knowledge/Info Sharing,Training / Workshop / Presentation,Barbara Weitz Community Engagement Center (CEC),"The UNO History Department invites you to join presenter Elizabeth Carney, Ph.D., from Clemson University, as she discusses the ancient female warrior found in a royal tomb in Vergina, Greece. Forty years ago this November, Manolis Andronikos found three tombs at Vergina in Greece that he considered royal, one of which he believed to be that of Philip II, the great Macedonian king, general, and father of Alexander the Great. Almost from the moment of the discovery, others have disagreed with Andronikos. Yet Tomb II contained not only a male burial but also that of a woman. Military equipment made it clear that she had been buried as a warrior. Her burial resembles the male in a number of aspects, including a slightly smaller and simpler golden burial box with the same starburst pattern, as well as a distinctive Scythian bow-and-arrow case and an elaborately decorated gold cuirass. While the lecture plans to discuss the identity of both occupants, the intended focus is to discuss primarily the woman. That is, who she was and why she was buried as a warrior. ",2017-18,Fall 2017,Fall 2017,0,0,0,0,70,0,0,N/A,N/A,"History, Department of",Clemson University,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
"The Madhouse Effect: How Climate Change Denial is Threatening our Planet, Destroying our Politics, and Driving us Crazy: 2016-17 (001)",Knowledge/Info Sharing,Training / Workshop / Presentation,Barbara Weitz Community Engagement Center (CEC),"Distinguised climate scientist Dr. Michael E. Mann will present ""The Madhouse Effect: How Climate Change Denial is Threatening Our Planety, Destroying Our Politics, and Driving Us Crazy.""  ADDITIONAL COMMUNITY PARTERS: Nebraskans for Peace. ADDITIONAL CAMPUS PARTNERS: UNO Center for Urban Sustainability",2016-17,Spring 2017,Spring 2017,0,0,0,0,79,0,0,N/A,N/A,"Sustainability, Office of",Sierra Club Nebraska Chapter,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
The Virtual World Project: 2016-17 (001),Knowledge/Info Sharing,Training / Workshop / Presentation,Barbara Weitz Community Engagement Center (CEC),"The event, Virtual World Project: Exploring the Ancient World with Virtual Reality, will host Dr. Nicolae Roddy and Dr. Ronald Simkins from the Theology Department at Creighton to present the website and resource, Virtual World Project, which provides interactive virtual tours of the ancient world (Israel & Jordan). The tours allow visitors of the site to “wander” through various archaeological sites.",2016-17,Spring 2017,Spring 2017,0,0,0,0,70,0,0,N/A,N/A,Natan and Hannah Schwalb Center for Israel and Jewish Studies (Schwalb Center),Creighton University,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Think Link: Cultivating Creative Connections in a Networked World: 2017-18 (001),Knowledge/Info Sharing,Training / Workshop / Presentation,Barbara Weitz Community Engagement Center (CEC),"Better understand your social network through these hands-on workshops. Social media beginners and savvy users alike will benefit from hearing Dr. Marc Smith, of Connected Action, explain the value of a connection-focused perspective and provide easy-to-follow guidance on how to analyze a social network. Network approaches can highlight patterns and reveal missing pieces, triggering a creative spark or a breakthrough idea. All workshops are free and open to the public. Attendees should plan to participate in an introductory session before an advanced workshop. Limited complimentary parking will be available in the lot directly north of the Weitz CEC. UNO undergraduate and graduate students will be able to continue exploring this subject after the workshops by collecting and analyzing creative network data at the UNO Social Media Lab. This event is sponsored by the College of Communication, Fine Arts and Media (CFAM) Cultural Enrichment Fund and the UNO Social Media Lab.       ",2017-18,Spring 2018,Spring 2018,150,1,0,0,24,0,0,"ADDITIONAL PARTNERS: Cultural Enrichment Fund and for profit - Connected Action. The Social Media Lab reviewed the involvement on social media, with around 79 people engaged in the activity on Twitter (other platforms were used for people to engage in the activity but no report of those numbers). There were roughly 150 students from 4 different classes. ",N/A,Social Media Lab,Social Media Research Foundation,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Three Days of Service: 2016-17 (001),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Scanned and digitized archived documents,2016-17,Fall 2016,Fall 2016,8,1,0,0,0,0,0,N/A,satisfaction surveys,Office of Civic and Social Responsibility (CSR),Kaneko,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Three Days of Service: 2016-17 (002),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Park cleanup (Elmwood and Memorial Park),2016-17,Fall 2016,Fall 2016,8,1,0,0,1,0,0,N/A,satisfaction surveys,Office of Civic and Social Responsibility (CSR),Keep Omaha Beautiful,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Three Days of Service: 2016-17 (003),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Greenhouse and outdoor garden revitalization,2016-17,Fall 2016,Fall 2016,21,1,1,1,1,0,0,1 UNMC Student,satisfaction surveys,Office of Civic and Social Responsibility (CSR),Lauritzen Gardens,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Three Days of Service: 2016-17 (004),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Revitalization of Florence Community Garden,2016-17,Fall 2016,Fall 2016,15,1,0,0,0,0,0,N/A,satisfaction surveys,Office of Civic and Social Responsibility (CSR),No More Empty Pots,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
Three Days of Service: 2016-17 (005),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Scanned and digitized archived documents,2016-17,Fall 2016,Fall 2016,12,20,0,0,0,0,0,N/A,satisfaction surveys,Office of Civic and Social Responsibility (CSR),Kaneko,Educational Support,Primary,Completed,N/A,N/A,N/A,N/A
Three Days of Service: 2016-17 (006),Volunteering,Unpaid Services,Office of Civic and Social Responsibility (CSR),Greenhouse and outdoor garden revitalization,2016-17,Fall 2016,Fall 2016,21,20,0,0,0,3,0,N/A,satisfaction surveys,Office of Civic and Social Responsibility (CSR),Lauritzen Gardens,Environmental Stewardship,Primary,Completed,N/A,N/A,N/A,N/A
